Nombre de IE,Nivel / Modalidad,Género,Gestión / Dependencia,Alumnos (2016),Docentes (2016),Secciones (2016)
BARTOLOME HERRERA,Secundaria,Varones,Pública - Sector Educación,635,56,27
1087 GRAL ROQUE SAENZ PEÑA,Secundaria,Mixto,Pública - Sector Educación,155,10,7
CLARETIANO,Secundaria,Mixto,Privada - Particular,755,65,20
PERUANO CHINO JUAN XXIII,Secundaria,Mixto,Privada - Particular,632,62,20
SANTA ANA,Secundaria,Mixto,Privada - Particular,300,27,10
16 ALMIRANTE MIGUEL GRAU,Secundaria,Mixto,Pública - Sector Educación,465,31,17
24 ROSA IRENE INFANTES DE CANALES,Secundaria,Mixto,Pública - Sector Educación,329,27,12
SAN JORGE,Secundaria,Mixto,Privada - Particular,43,7,5
ALMIRANTE GRAU,Secundaria,Mixto,Privada - Particular,36,9,5
SAN FABIAN,Secundaria,Mixto,Privada - Particular,16,8,5
SAN MARCELO,Secundaria,Mixto,Privada - Particular,38,14,5
SANTA LUCIA,Secundaria,Mixto,Privada - Particular,136,11,5
PRIMERO DE MAYO CAFAE IPSS,Secundaria,Mixto,Privada - Particular,90,15,6
NUESTRA SEÑORA DEL CARMEN,Secundaria,Mixto,Privada - Particular,7,3,4
MAXIM GORKI,Secundaria,Mixto,Privada - Particular,30,11,5
SAN JUDAS TADEO CORAZONISTAS,Secundaria,Mixto,Privada - Particular,294,19,10
1086 JESUS REDENTOR,Secundaria,Mixto,Pública - Sector Educación,406,41,20
INMACULADO CORAZON DE MARIA,Secundaria,Mixto,Privada - Particular,45,12,5
CORAZON DE JESUS,Secundaria,Mixto,Privada - Particular,47,7,5
BUENAS NUEVAS,Secundaria,Mixto,Privada - Particular,147,24,7
JUANA ALARCO DE DAMMERT,Secundaria,Mixto,Privada - Particular,31,8,5
PERUANO CHINO DIEZ DE OCTUBRE,Secundaria,Mixto,Privada - Particular,301,45,12
SANTO TORIBIO DE MOGROVEJO,Secundaria,Mixto,Privada - Particular,85,14,5
WALT WHITMAN,Secundaria,Mixto,Privada - Particular,72,14,5
SAN AGUSTIN,Secundaria,Mixto,Privada - Particular,74,7,5
NUESTRA SEÑORA DEL CARMEN,Secundaria,Mixto,Pública - Sector Educación,196,21,10
AMERICA,Secundaria,Mixto,Privada - Particular,158,12,6
CLARET,Secundaria,Mixto,Privada - Particular,89,7,5
CLEMENTE ALTHAUS,Secundaria,Mixto,Privada - Particular,416,22,12
NUESTRA SEÑORA DE LA ASUNCION,Secundaria,Mixto,Privada - Particular,133,13,5
SAN ANTONIO ABAD,Secundaria,Mixto,Privada - Particular,118,14,5
NUESTRA SEÑORA DEL CONSUELO (NIÑO MANUELITO),Secundaria,Mixto,Privada - Particular,95,12,6
SANTISIMA CRUZ,Secundaria,Mixto,Privada - Particular,157,9,9
SANTO DOMINGO EL APOSTOL,Secundaria,Mixto,Privada - Particular,709,40,23
KAROL WOJTYLA COLLEGE,Secundaria,Mixto,Privada - Particular,98,7,5
TRENTO SAN MIGUEL,Secundaria,Mixto,Privada - Particular,329,17,12
TRENTO FAUCETT,Secundaria,Mixto,Privada - Particular,248,16,9
SAN CHARBEL,Secundaria,Varones,Privada - Particular,133,16,5
PAMER - FAUCETT,Secundaria,Mixto,Privada - Particular,71,11,2
PITAGORAS SAN MIGUEL,Secundaria,Mixto,Privada - Particular,130,15,6
LOS ROSALES,Secundaria,Mixto,Privada - Particular,120,7,5
LICEO NAVAL CONTRALMIRANTE MONTERO,Secundaria,Mixto,Pública - Otro Sector Público,973,82,38
NEWTON,Secundaria,Mixto,Privada - Particular,58,7,5
TRILCE - MARANGA,Secundaria,Mixto,Privada - Particular,830,23,25
DIAS FELICES - VILLA NOVA,Secundaria,Mixto,Privada - Particular,74,9,5
PAMER - SAN MIGUEL,Secundaria,Mixto,Privada - Particular,436,27,14
INGENIERIA DE SAN MIGUEL,Secundaria,Mixto,Privada - Particular,67,5,5
DIVINO NIÑO DE PRAGA,Secundaria,Mixto,Privada - Particular,51,13,5
BRIGHAM YOUNG SCHOOL,Secundaria,Mixto,Privada - Particular,44,4,4
INNOVA SCHOOLS- SAN MIGUEL 2,Secundaria,Mixto,Privada - Particular,470,28,16
ALBERT EINSTEIN - SAN MIGUEL,Secundaria,Mixto,Privada - Particular,189,12,10
INNOVA SCHOOLS - SAN MIGUEL 3 LA PAZ,Secundaria,Mixto,Privada - Particular,85,9,3
